questions,"answers"
"Возникла проблема с подключением к jitsi. При переходе по ссылке происходит авторизация через студенческую почту, уменя нет отдельной почты МИЭМа, а после этого появляется эта нескончаемая ошибка. Подскажите, как это решить.","Вам нужно заполнить форму и ввести данные, полученные после ее заполнения: https://meet.miem.hse.ru/registration/."
"Вопрос с использованием подзадач в Wekan.","Эта функция создает поддоски, дополнительные доски к карточкам."
"Сами подзадачи в Wekan внутри карточек можно убрать?","К сожалению, нельзя."
"Состоится защита ВКР и проекта в Jitsi. Просим вести запись.","У нас нет прав на организацию видеозаписи, но ее может сделать любой член комиссии или модератор.  Для того чтобы включить запись нажмите в нижнем правом углу на "..." и выберите "Начать запись"."
"Вести страницу проекта буду я. Как мне получить права для просмотра и редактирования?","Права на редактирование выдаются только руководителю проекта. Мы не можем дать права на это студенту-исполнителю."
"руководитель создал доску в wekan, однако я доступа к ней не имею, как мне подключиться?","Авторизуйтесь с той почты, которая указана у Вас в профиле Личного кабинета."
"Не запускается камера","Вам нужно проверить в настройках браузера, разрешен ли сайту доступ к камере."
"В разделе Статистика -> Трекер по ссылке на Wekan не находится доска.","Пожалуйста, ознакомьтесь с инструкцией по авторизации в сервисе Wekan: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"Как вести учет времени в Тайге? Как перевести трудозатраты в виде часов в очки Тайги?","Трудозатраты не нужно переводить в очки. Очки не несут в себе ценность для учета часов и никак не влияют на статистику исполнителя. Пожалуйста, ознакомьтесь с разделом "Статус работы и трудозатраты" в инструкции: https://wiki.miem.hse.ru/ru/docs/miem-digital/taiga/quickstart."
"К проекту не привязался один из участников проекта, поэтому у него нет доступа к репозиторию","Добрый вечер! Руководитель проекта может пригласить недостающего участника."
"Авторизация в лк ВШЭ выдаёт ошибку, через домен @miem.hse.ru тоже","Попробуйте войти еще раз, пожалуйста. "
"Перестала работать ссылка Перейти в Wekan из кабинета.","Возможно, Вы не авторизовались в системе.  Нажмите на 'logging in' и войдите с той почты, которая указана у Вас в Личном кабинете. Пожалуйста, ознакомьтесь с инструкцией: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"Участники проекта не добавлены в доску Wekan.","Добрый вечер! Мы не можем добавить участников на доску, так как они не авторизовались в Wekan. Участники должны авторизоваться согласно инструкции: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization . Пожалуйста, сообщите, удалось ли нам решить Вашу проблему."
"Могли бы Вы создать мне аккаунт в meet.miem.hse.ru?","Вам нужно заполнить форму и ввести данные, полученные после ее заполнения: https://meet.miem.hse.ru/registration/"
"Не могу подключиться к занятию","Войдите, пожалуйста, с почты @miem.hse.ru."
"Проблема с доступом к My Boards в системе Wekan. Там пусто, поэтому мы не можем внести туда задачи, статистику и т.п.","Пожалуйста, ознакомьтесь с инструкцией по авторизации в Wekan: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization ."
"Не получается присоединится к доске своего проекта в Wekan","Пожалуйста, ознакомьтесь с инструкцией по авторизации в Wekan: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"Можно ли редактировать карточки после того как нажал "add" ?","Да, карточки можно редактировать. Просто нажмите на описание карточки, чтобы изменить его. Введите нужные данные, затем сохраните. Вот инструкция по работе с Wekan: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/quickstart"
"Куда на доске wekan нужно заносить часы чтобы они появлялись в ЛК?","Пожалуйста, ознакомьтесь с разделом 'Зачет часов'  в инструкции по работе с Wekan, пожалуйста: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/quickstart"
"Часы должны сразу появиться в личном кабинете?","Сразу после того, как задача будет зачтена исполнителю."
"Продолжающийся проект. И сейчас в личном кабинете старая статистика","Новая статистика появится как только будут зачтены первые часы в этом учебном году."
"у меня появились карточки проектов, но где-то добавлено несколько студентов, а где-то ни одного","Студенты добавляются на доски автоматически после авторизации в течении суток. О том, как правильно авторизоваться в системе, рассказано здесь: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"у меня нет доступа к доске проекта викан","Вам нужно авторизоваться в системе через почту @edu.hse.ru. Как это сделать, написано здесь: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"Необходимо зарегистрироваться в системе Wekan для работы в проекте, в котором я учавствую. Однако мне нужно зарегистрироваться под доменом miem.hse.ru. При попытке входа предлагается сделать это только через ЕЛК. Можно ли зарегистрироваться в системе через домен miem.hse.ru?","Пожалуйста, ознакомьтесь с инструкцией по авторизации: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization. Если останутся вопросы, задавайте. Обязательно ответим."
"Получает ли пользователь уведомление в классруме (classroom) при редактировании записи?","Если запись была отредактирована, а не опубликована заново, то пользователь не получает уведомления об этом по почте. Узнать о том, что запись была изменена, он может, только зайдя в сам курс: у записи, где были внесены изменения, будет внесена пометка "Изменено"."
"При входе в Trello для ведения статистики по проекту формируется сообщение, что страница не найдена","Мы больше не используем Trello для ведения проектов. Для этого используется Wekan. Пожалуйста, авторизуйтесь в Wekan согласно инструкции: https://wiki.miem.hse.ru/ru/docs/miem-digital/wekan/authorization"
"у участников сообщение Board not found не пропадает или пропадает только после длительного ожидания.","Если вы авторизуетесь первый раз, то доска появится не сразу. Система подключит вас к доске проекта через сутки. Пожалуйста, ожидайте. Если через сутки вас не подключили к доске и вы уверены, что авторизовались с нужной почты, то обратитесь в Техподдержку"
"Зачла карточки общим объемом часов, а у него зачтено другое. зачтено не то количество часов в кабинете.","Возможно, Вы ввели недопустимый символ в названии задачи. Кабинет не принимает задачи с символом '№' в названии, пока надо переименовать задачи. В скором времени запрещенные символы будут удаляться автоматически."
"Если сижу в мобильном приложении jitsi, активность учитывается?","Да, активность вся учитывается, независимо от платформы."
"Может ли быть студент руководителем и участником проекта одновременно?","Человек не может быть в проекте руководителем и участником одновременно."
"У меня не получается создать странички в вики под главной страницей проекта, у руководителя та же проблема","Необходимо создавать страницы в подпапке /docs.  Остальные подпапки - для автоматически импортируемой документации."
"Есть ли возможность посмотреть в wekan, как изменялось количество часов в конкретной карточке? Можно ли увидеть эту историю изменений?","К сожалению, такой опции нет в Wekan. Такая опция есть в трекере Taiga."
"Гугл диск (google disk) имеет ограничение по хранению информации?","Сервисные аккаунты гугл имеют строгое ограничение в 15ГБ."
"Здравствуйте, прошу добавить к нашей доске в Wekan всех участников проекта , которых нет в доске","Участникам проекта нужно авторизоваться согласно инструкции: https://wiki.miem.hse.ru/docs/miem-digital/wekan/authorization . Спустя сутки система автоматически присоединит участников к доске."
"Как связать аккаунты?","В гитлабе необходимо связать аккаунты следующим образом: Edit profile -> Account -> Social Sign-In. Инструкция : https://git.miem.hse.ru/vminchenkov/new-auth-system/-/wikis/Profile%20system"
"возможно ли участнице проекта перенести коммиты, сделанные с ее личной почты в репозитории проекта, в статистику по GitLab в ЛК?","Для этого пользователю достаточно зайти в свой профиль в gitlab, там в меню есть раздел emails. Далее нужно добавить свои почтовые ящики с которых делались коммиты."
"Возникла проблема с закрытием задачи в тайге, система не видит юзера с почтой","В гитлабе необходимо связать аккаунты следующим образом: Edit profile -> Account -> Social Sign-In. Инструкция : https://git.miem.hse.ru/vminchenkov/new-auth-system/-/wikis/Profile%20system"
"В рамках этого проекта необходимо запустить в пространстве миэма веб приложение, какие шаги для этого надо предпринять?","Оставьте заявку на cluster.miem.hse.ru"
"Не могу найти тренировочный проект в своей учетной записи.","Попробуйте зайти через ЕЛК в Тайгу."
"У проекта не транслируется статистика из Тайги по закрытым часам на страничку проекта.","Возможно, Вы не создали ни одну задачу. Пожалуйста, ознакомьтесь с инструкцией: https://wiki.miem.hse.ru/ru/docs/miem-digital/taiga/quickstart"
"Не могу залогиниться в свой проект через миэм. Выдает "Internal Server Error".","Пожалуйста, воспользуйтесь инструкцией: https://git.miem.hse.ru/vminchenkov/new-auth-system/-/wikis/Gitlab%20profile . Только Вам нужно сделать зеркально: зайти через ЕЛК и привязать гугл-аккаунт."
"Кабинет (личный кабинет) не учитывает трудозатраты на часы меньше 1? Учитыват ли он нецелые часы, дробные?","Дробные часы - вещь не предусмотренная методологией. Это на самом деле просто возможность Тайги, которую лучше не использовать."
"Проблема с карточками в wekan. Все часы из карточек успешно засчитывались, но почему-то последние нет, хоть и находятся в колонке 'выполнено'. В эту колонку карточку переносил руководитель, как и положено, но в комментарии к карточке нет сообщения от сервиса 'Часы успешно отправлены в кабинет'.","В Wekan необходимо не только перетащить карточку в нужную колонку, но и галочку руками поставить."
"Можно ли через ctrl+V вставить скриншот из буфера обмена в Wiki (вики)?","Нет, нельзя."
"А связь с разработчиками кабинет вообще существует?","Возможно тут может помочь @Александра Маидже и у Илья Семичаснов есть связь с ними."
"Не получается открыть лабораторные работы по проектному семинару","Видимо вам не предоставили доступ к репозиторию, можете попросить преподавателя либо ассистентов."
"В проекте не создался репозиторий","Для проектов типа НИР группа в гитлаб не создается по умолчанию. Руководитель проекта может сам в настройках проекта в кабинете поставить галочку "Создать репозиторий"."
"Не могу авторизоваться","Зайдите через Google в профиль https://profile.miem.hse.ru/auth/realms/MIEM/account/#/security/linked-accounts и привяжите заново аккаунт ЕЛК ВШЭ"
"Можно ли увеличить квоту запросов к API?","Нет, это встроенная защита зулипа, ее можно отключить только пересборкой исходного кода, чем мы заниматься в ближайшем будущем не планировали"
"В статистике перестали отображаться часы","Попробуйте еще раз авторизоваться через edu.hse.ru. если ошибка повторится - напишите в канал тех. поддержки в Zulip"
"Не приходят часы из Wekan","Руководителю нужно нажать на шестеренку у названия проекта. Тогда откроются настройки. Там будет пункт "Трекер Wekan". Его нужно включить."
"Я пытаюсь зайти на свою доску в wekan, чтобы заполнить часы, но меня всё время перекидывает на аккаунт miem.hse (даже если захожу через ЕЛК), хотя доска у меня должна быть с edu.hse.","Вам нужно открыть «Профиль безопасности»: https://profile.miem.hse.ru/auth/realms/MIEM/account/#/, нажать «Выйти» и затем там же авторизоваться через ЕЛК. После откройте wekan и авторизуйтесь через ЕЛК."
"Не удаётся пройти интерактивные уроки. Бот не отвечает и не пишет. В чём проблема? Не рестартится не стопается...","В зулипе поменяли почты, поэтому ничего пока не работает, ждите обновления"
"Проблема со статистикой проекта","Дочитайте пожалуйста до конца эту инструкцию https://git.miem.hse.ru/vminchenkov/new-auth-system/-/wikis/Profile-system"
